Question,Answer  (Use || as a separator),Field Type,Other (Questions having the other option text)
"Have you ever neglected your obligations, your family, or your work for two or more days in a row because you were drinking? ",Yes||No,radiobutton,
Do you drink before noon fairly often? ,Yes||No,radiobutton,
"Have you ever been told you have liver trouble, such as cirrhosis?",Yes||No,radiobutton,
"After heavy drinking have you ever had severe shaking, visual hallucinations or seen/heard things that were really not there?",Yes||No,radiobutton,
Have you ever gone to anyone for help about your drinking?,Yes||No,radiobutton,
Have you ever been in a hospital because of drinking?,Yes||No,radiobutton,
Has your drinking ever resulted in your being hospitalized in a psychiatric facility?,Yes||No,radiobutton,
"Have you ever gone to any doctor, social worker, clergyman, or mental health clinic for help with any emotional problem in which drinking was part of the problem?",Yes||No,radiobutton,
"Have you been arrested for driving under the influence of alcohol?  If yes, how many times? ","Yes||No||If yes, how many times",radiobutton,"If yes, how many times"
"Have you ever been arrested, even for a few hours, because of alcohol related behavior other than driving under the influence (e.g. public intox., disorderly conduct, domestic violence, etc.)?","Yes||No||If yes, how many times",radiobutton,"If yes, how many times"
How often do you have a drink containing alcohol ? ,Never||Monthly or less||2-4 times a month||2-3 times a week||4 or more times a week,radiobutton,
How many drinks containing alcohol do you have on a typical day when you are drinking ? ,1 or 2||3 or 4||5 or 6||6 to 9||10 or more,radiobutton,
How often do you have six or more drinks on one occasion ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you found that you were not able to stop drinking once you had started ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you failed to do what was normally expected of you because of drinking ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you needed a first drink in the morning to get yourself going after heavy drinking the night before ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you had a feeling of guilt or remorse after drinking ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you been unable to remember what happened the night before because of your drinking ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
Have you or someone else been injured because of your drinking ? ,"No||Yes, but not in the last year||Yes, during the last year",radiobutton,
"Has a relative, friend, doctor, or other health care worker been concerned about your drinking or suggested you to cut down ?","No||Yes, but not in the last year||Yes, during the last year",radiobutton,
"To expedite completion of your report, please indicate name and address of your attorney, probation officer, employer, or whomever will receive your report if you choose to send it to them. If you do not know the address please provide their name, city and state.",,textarea, 
"To expedite completion of your report, please indicate the name of the court in which your case is taking place.",,textarea, 
